MMSI,LAT,LON,SOG,COG,Point_Type
366954120,29.95567,-90.05672,4.4,207.9,Start
366954120,29.95567,-90.05672,4.4,207.9,End
366978690,37.79238,-122.28325,0.0,345.4,Start
366978690,37.79238,-122.28325,0.0,345.4,End
366979330,37.91954,-122.40887,5.4,90.1,Start
366979330,37.91954,-122.40887,5.4,90.1,End
366991740,29.3201,-94.78524,0.0,300.6,Start
366991740,29.3201,-94.78524,0.0,300.6,End
366994920,44.10446,-69.10238,0.1,172.1,Start
366994920,44.10446,-69.10238,0.1,172.1,End
367003580,30.10649,-90.97839,0.0,156.6,Start
367003580,30.10649,-90.97839,0.0,156.6,End
367004910,29.95355,-90.03552,0.0,4.7,Start
367004910,29.95355,-90.03552,0.0,4.7,End
367007030,30.43959,-91.19257,0.0,360.0,Start
367007030,30.43959,-91.19257,0.0,360.0,End
367020820,21.3102,-157.86589,0.1,49.8,Start
367020820,21.3102,-157.86589,0.1,49.8,End
367023320,36.96664,-76.41403,0.0,187.6,Start
367023320,36.96664,-76.41403,0.0,187.6,End
367029020,42.36261,-71.03153,0.1,347.6,Start
367029020,42.36261,-71.03153,0.1,347.6,End
367082000,17.93693,-66.15636,0.0,216.0,Start
367082000,17.93693,-66.15636,0.0,216.0,End
367094660,30.25177,-88.08102,0.1,234.5,Start
367094660,30.25177,-88.08102,0.1,234.5,End
367104560,30.10593,-90.91705,0.0,25.1,Start
367104560,30.10593,-90.91705,0.0,25.1,End
367139510,39.25505,-76.57245,1.0,278.9,Start
367139510,39.25505,-76.57245,1.0,278.9,End
367140730,28.90474,-92.49675,0.0,360.0,Start
367140730,28.90474,-92.49675,0.0,360.0,End
367147860,40.48977,-74.25351,0.1,340.2,Start
367147860,40.48977,-74.25351,0.1,340.2,End
367148660,21.31139,-157.87417,0.0,299.1,Start
367148660,21.31139,-157.87417,0.0,299.1,End
367179990,40.686,-74.15837,0.0,36.9,Start
367179990,40.686,-74.15837,0.0,36.9,End
367185000,39.27362,-76.58595,0.0,26.1,Start
367185000,39.27362,-76.58595,0.0,26.1,End
367186380,41.81486,-71.39989,0.0,297.8,Start
367186380,41.81486,-71.39989,0.0,297.8,End
367349790,33.45885,-117.69502,0.0,186.2,Start
367349790,33.45885,-117.69502,0.0,186.2,End
367449780,21.2212,-157.89167,6.7,55.3,Start
367449780,21.2212,-157.89167,6.7,55.3,End
367453040,46.16833,-123.91414,0.0,136.2,Start
367453040,46.16833,-123.91414,0.0,136.2,End
367456980,34.46717,-90.58776,2.0,339.9,Start
367456980,34.46717,-90.58776,2.0,339.9,End
367462350,39.75084,-74.11472,0.0,0.0,Start
367462350,39.75084,-74.11472,0.0,0.0,End
367473140,32.74603,-79.85187,0.1,268.3,Start
367473140,32.74603,-79.85187,0.1,268.3,End
367473530,32.85546,-79.95521,0.0,265.5,Start
367473530,32.85546,-79.95521,0.0,265.5,End
367505060,27.81207,-97.40081,0.0,239.0,Start
367505060,27.81207,-97.40081,0.0,239.0,End
367508430,29.7264,-95.22745,0.0,127.3,Start
367508430,29.7264,-95.22745,0.0,127.3,End
367516470,43.37211,-124.21033,0.0,360.0,Start
367516470,43.37211,-124.21033,0.0,360.0,End
367531740,40.74055,-74.01195,0.1,360.0,Start
367531740,40.74055,-74.01195,0.1,360.0,End
367553550,47.2448,-122.55766,0.0,283.6,Start
367553550,47.2448,-122.55766,0.0,283.6,End
367567990,43.07489,-70.71754,3.8,84.5,Start
367567990,43.07489,-70.71754,3.8,84.5,End
367572040,33.24782,-79.21133,0.1,151.3,Start
367572040,33.24782,-79.21133,0.1,151.3,End
367573920,37.2484,-76.50441,0.1,226.5,Start
367573920,37.2484,-76.50441,0.1,226.5,End
367614030,43.37209,-124.21049,0.0,313.8,Start
367614030,43.37209,-124.21049,0.0,313.8,End
367626030,29.93743,-90.34605,0.1,143.3,Start
367626030,29.93743,-90.34605,0.1,143.3,End
367638480,48.75453,-122.49349,0.0,189.4,Start
367638480,48.75453,-122.49349,0.0,189.4,End
367649320,48.57105,-122.88288,0.0,240.4,Start
367649320,48.57105,-122.88288,0.0,240.4,End
367664180,44.20162,-124.20977,6.6,2.2,Start
367664180,44.20162,-124.20977,6.6,2.2,End
367684360,38.75221,-85.03293,0.4,208.2,Start
367684360,38.75221,-85.03293,0.4,208.2,End
367686510,38.77542,-76.56833,0.0,125.1,Start
367686510,38.77542,-76.56833,0.0,125.1,End
367694720,40.64175,-74.193,0.0,360.0,Start
367694720,40.64175,-74.193,0.0,360.0,End
367702190,30.5098,-91.26052,0.0,278.3,Start
367702190,30.5098,-91.26052,0.0,278.3,End
367702480,29.99122,-90.82467,0.0,176.2,Start
367702480,29.99122,-90.82467,0.0,176.2,End
367726950,29.70249,-94.13966,2.2,53.8,Start
367726950,29.70249,-94.13966,2.2,53.8,End
367740640,42.4797,-73.78841,0.0,278.7,Start
367740640,42.4797,-73.78841,0.0,278.7,End
367777560,29.83192,-93.96103,0.3,44.3,Start
367777560,29.83192,-93.96103,0.3,44.3,End
368000070,30.70872,-81.45646,5.3,251.5,Start
368000070,30.70872,-81.45646,5.3,251.5,End
368072040,29.49649,-94.86826,7.1,145.7,Start
368072040,29.49649,-94.86826,7.1,145.7,End
368076750,47.6593,-122.37974,0.0,273.9,Start
368076750,47.6593,-122.37974,0.0,273.9,End
368077290,29.73588,-95.13176,0.0,239.5,Start
368077290,29.73588,-95.13176,0.0,239.5,End
368082970,45.6133,-122.6742,0.0,316.6,Start
368082970,45.6133,-122.6742,0.0,316.6,End
368165310,47.63256,-122.3393,0.0,228.7,Start
368165310,47.63256,-122.3393,0.0,228.7,End
368214290,38.77233,-76.56354,0.0,133.3,Start
368214290,38.77233,-76.56354,0.0,133.3,End
368251000,47.28433,-122.40999,0.0,219.7,Start
368251000,47.28433,-122.40999,0.0,219.7,End
368926317,36.91958,-76.1821,0.0,285.9,Start
368926317,36.91958,-76.1821,0.0,285.9,End
369043000,25.8598,-79.87834,15.8,350.3,Start
369043000,25.8598,-79.87834,15.8,350.3,End
369285000,48.22177,-123.62245,16.0,93.1,Start
369285000,48.22177,-123.62245,16.0,93.1,End
369970099,45.86702,-122.79634,0.0,146.7,Start
369970099,45.86702,-122.79634,0.0,146.7,End
369990135,28.41598,-80.62055,0.0,341.6,Start
369990135,28.41598,-80.62055,0.0,341.6,End
371229000,-24.12611,153.821348,13.0,184.3,Start
371229000,-24.12611,153.821348,13.0,184.3,End
371437000,22.92315,59.64815,19.5,142.0,Start
371437000,23.101433,59.48225,19.4,137.0,End
374745000,-12.632512,152.317245,12.1,169.2,Start
374745000,-12.632512,152.317245,12.1,169.2,End
374906000,-9.368513,-179.461273,0.7,185.1,Start
374906000,-9.368513,-179.461273,0.7,185.1,End
375009000,48.67091,-123.40533,0.0,347.9,Start
375009000,48.67091,-123.40533,0.0,347.9,End
377911000,18.30015,-64.66923,4.7,53.8,Start
377911000,18.30015,-64.66923,4.7,53.8,End
398701185,20.092878,110.48712,0.3,249.0,Start
398701185,20.092878,110.48712,0.3,249.0,End
405000264,24.928783,59.5646,12.2,280.0,Start
405000264,24.94955,59.437033,12.1,280.0,End
412327732,37.624558,122.12127,8.4,356.5,Start
412327732,37.624558,122.12127,8.4,356.5,End
412328470,21.040058,110.603848,0.6,259.2,Start
412328470,21.040058,110.603848,0.6,259.2,End
412328715,-18.461033,-179.78175,8.6,271.1,Start
412328715,-18.461033,-179.78175,8.6,271.1,End
412400186,30.429738,122.417227,0.1,154.9,Start
412400186,30.429738,122.417227,0.1,154.9,End
412455250,23.712828,117.582252,5.2,132.7,Start
412455250,23.712828,117.582252,5.2,132.7,End
412460572,22.09212,113.983987,7.2,318.4,Start
412460572,22.09212,113.983987,7.2,318.4,End
412464782,22.677242,114.524162,0.0,167.4,Start
412464782,22.677242,114.524162,0.0,167.4,End
412466260,22.360892,113.956502,0.6,275.9,Start
412466260,22.360892,113.956502,0.6,275.9,End
412467909,21.492723,111.233207,0.0,0.0,Start
412467909,21.492723,111.233207,0.0,0.0,End
412470205,23.173022,116.71247,3.1,67.8,Start
412470205,23.173022,116.71247,3.1,67.8,End
412472070,22.621135,113.705287,0.1,343.8,Start
412472070,22.621135,113.705287,0.1,343.8,End
412473710,20.890718,109.333733,6.0,151.9,Start
412473710,20.890718,109.333733,6.0,151.9,End
412478599,22.815072,113.032875,0.1,123.2,Start
412478599,22.815072,113.032875,0.1,123.2,End
412502157,21.565645,108.470985,0.3,183.7,Start
412502157,21.565645,108.470985,0.3,183.7,End
412510874,23.921107,117.487197,3.2,105.6,Start
412510874,23.921107,117.487197,3.2,105.6,End
413101507,26.856252,120.710845,0.0,32.5,Start
413101507,26.856252,120.710845,0.0,32.5,End
413238750,22.138578,113.817355,0.1,-1.0,Start
413238750,22.138578,113.817355,0.1,-1.0,End
413404220,31.1157,122.54425,10.3,359.1,Start
413404220,31.1157,122.54425,10.3,359.1,End
413455580,21.381682,111.095057,0.2,286.8,Start
413455580,21.381682,111.095057,0.2,286.8,End
413491850,22.898528,113.139797,0.0,351.3,Start
413491850,22.898528,113.139797,0.0,351.3,End
413503410,22.737768,113.648845,0.3,205.5,Start
413503410,22.737768,113.648845,0.3,205.5,End
413507310,21.40695,109.042752,8.2,350.9,Start
413507310,21.40695,109.042752,8.2,350.9,End
413510620,21.392112,109.126097,0.1,213.1,Start
413510620,21.392112,109.126097,0.1,213.1,End
413555770,21.58098,109.59244,0.0,325.6,Start
413555770,21.58098,109.59244,0.0,325.6,End
413765834,31.944398,120.414083,3.9,120.4,Start
413765834,31.944398,120.414083,3.9,120.4,End
413771081,31.898798,119.736278,3.7,122.9,Start
413771081,31.898798,119.736278,3.7,122.9,End
413793765,31.375568,121.499992,8.4,12.3,Start
413793765,31.375568,121.499992,8.4,12.3,End
413796232,31.868985,118.54064,5.1,14.1,Start
413796232,31.868985,118.54064,5.1,14.1,End
413804012,29.834998,115.604753,0.1,148.9,Start
413804012,29.834998,115.604753,0.1,148.9,End
413835683,30.2836,116.931033,5.3,15.3,Start
413835683,30.2836,116.931033,5.3,15.3,End
413845006,22.605183,113.596775,0.0,342.5,Start
413845006,22.605183,113.596775,0.0,342.5,End
413848584,30.27909,116.92492,3.2,216.2,Start
413848584,30.27909,116.92492,3.2,216.2,End
413900715,22.943955,113.616968,0.0,204.5,Start
413900715,22.943955,113.616968,0.0,204.5,End
413902338,22.617945,113.688312,0.0,197.0,Start
413902338,22.617945,113.688312,0.0,197.0,End
413902462,22.978805,112.853683,0.0,90.5,Start
413902462,22.978805,112.853683,0.0,90.5,End
413902694,22.926835,113.566827,0.0,152.1,Start
413902694,22.926835,113.566827,0.0,152.1,End
413902996,23.267427,112.846267,0.0,284.1,Start
413902996,23.267427,112.846267,0.0,284.1,End
413974948,32.550005,119.489813,2.1,324.2,Start
